,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
0,Jan 25 2020,7,1,9,0.7777777777777778,0.1111111111111111,0.2104292929292929,1434,493,,42,16,126.8904629113218,7
1,Jan 26 2020,4,2,9,0.4444444444444444,0.2222222222222222,0.1387037037037037,2118,684,1.3874239350912778,56,14,97.05691020635805,9
2,Jan 27 2020,256,103,580,0.4413793103448276,0.17758620689655172,0.09597745843067765,2927,809,1.182748538011696,82,26,99.45085889570552,9
3,Jan 28 2020,725,348,1875,0.38666666666666666,0.1856,0.06311591726574796,5578,2651,3.276885043263288,131,49,101.35834355828221,12
4,Jan 29 2020,726,298,1853,0.3917970858067998,0.16082029141932003,0.062213867262487385,6166,588,0.22180309317238778,133,2,101.86681260457334,11
5,Jan 30 2020,1078,508,2720,0.3963235294117647,0.18676470588235294,0.084311942478282,8234,2068,3.5170068027210886,171,38,107.65295315114334,13
6,Jan 31 2020,1133,476,2758,0.4108049311094996,0.17258883248730963,0.07629018837161333,9927,1693,0.8186653771760155,213,42,128.09933909648632,14
7,Feb 01 2020,649,270,1591,0.40791954745443115,0.16970458830923948,0.0653826200293705,12038,2111,1.2468989958653278,259,46,128.3422838817624,10
8,Feb 02 2020,518,229,1268,0.4085173501577287,0.1805993690851735,0.060587480403054006,16787,4749,2.24964471814306,362,103,95.8400250976018,9
9,Feb 03 2020,402,193,1022,0.3933463796477495,0.1888454011741683,0.07305808049291586,19887,3100,0.6527690040008423,426,64,101.47300055772448,7
10,Feb 04 2020,483,163,1172,0.4121160409556314,0.13907849829351535,0.09578753487563145,23898,4011,1.2938709677419356,492,66,102.34672058003348,7
11,Feb 05 2020,368,235,1000,0.368,0.235,0.03942312803261194,27643,3745,0.9336823734729494,564,72,101.18916062465141,7
12,Feb 06 2020,382,213,1017,0.37561455260570303,0.20943952802359883,0.06219637735002204,30802,3159,0.843524699599466,634,70,106.6522671500279,7
13,Feb 07 2020,366,192,1132,0.32332155477031804,0.1696113074204947,0.054769434865647594,34395,3593,1.1373852484963596,719,85,127.93108198549916,8
14,Feb 08 2020,50,32,171,0.29239766081871343,0.1871345029239766,0.05092091475080197,37129,2734,0.7609240189256888,806,87,129.92308979364194,8
15,Feb 09 2020,2,0,3,0.6666666666666666,0.0,0.08888888888888889,40159,3030,1.1082662765179225,906,100,102.82384551031791,7
16,Feb 10 2020,226,80,555,0.4072072072072072,0.14414414414414414,0.07701891664391669,42768,2609,0.861056105610561,1013,107,105.05880925822645,7
17,Feb 11 2020,353,117,822,0.42944038929440387,0.14233576642335766,0.10193774520180622,44810,2042,0.7826753545419701,1113,100,106.2186558839933,8
18,Feb 12 2020,264,93,605,0.43636363636363634,0.1537190082644628,0.09672860370231239,45228,418,0.20470127326150833,1118,5,107.31448689347462,6
19,Feb 13 2020,299,120,774,0.3863049095607235,0.15503875968992248,0.06844624673562213,60381,15153,36.251196172248804,1371,253,116.26727551589514,6
20,Feb 14 2020,333,194,992,0.33568548387096775,0.19556451612903225,0.03446445361974895,66908,6527,0.4307397875008249,1523,152,146.57079475738985,6
21,Feb 15 2020,217,115,605,0.3586776859504132,0.19008264462809918,0.07775741148855082,69050,2142,0.32817527194729584,1666,143,141.82464584495258,6
22,Feb 16 2020,181,84,568,0.31866197183098594,0.14788732394366197,0.06648122951120627,71234,2184,1.0196078431372548,1770,104,112.99643892916899,6
23,Feb 17 2020,202,108,579,0.3488773747841105,0.18652849740932642,0.04341943131909666,73269,2035,0.9317765567765568,1868,98,117.11912994980479,5
24,Feb 18 2020,257,91,669,0.3841554559043348,0.13602391629297458,0.0759971081983589,75151,1882,0.9248157248157248,2008,140,110.81394032348021,5
25,Feb 19 2020,223,81,620,0.3596774193548387,0.13064516129032258,0.08416274794500596,75651,500,0.26567481402763016,2123,115,111.87589514779698,5
26,Feb 20 2020,150,71,465,0.3225806451612903,0.15268817204301074,0.04476148378950797,76211,560,1.12,2248,125,116.79218070273285,5
27,Feb 21 2020,248,94,680,0.36470588235294116,0.13823529411764707,0.07405434091259246,76840,629,1.1232142857142857,2252,4,141.21081985499163,5
28,Feb 22 2020,252,102,651,0.3870967741935484,0.15668202764976957,0.08416848928792102,78601,1761,2.7996820349761524,2459,207,142.90669827105407,5
29,Feb 23 2020,327,135,689,0.4746008708272859,0.19593613933236576,0.08319108689054762,78979,378,0.21465076660988075,2470,11,111.66174567763525,6
30,Feb 24 2020,357,270,1080,0.33055555555555555,0.25,0.04673482587830306,79543,564,1.492063492063492,2630,160,108.03497211377581,10
31,Feb 25 2020,465,224,1091,0.42621448212648944,0.20531622364802934,0.07177165387591741,80396,853,1.5124113475177305,2710,80,109.07312325711098,15
32,Feb 26 2020,733,283,1733,0.4229659549913445,0.16330063473744952,0.08236593336011071,81373,977,1.145369284876905,2771,61,110.14999721137758,24
33,Feb 27 2020,1035,405,2332,0.44382504288164665,0.17367066895368782,0.08132943224249381,82737,1364,1.3961105424769704,2814,43,117.09303680981596,24
34,Feb 28 2020,864,363,2156,0.4007421150278293,0.1683673469387755,0.08194423330531468,84114,1377,1.0095307917888563,2873,59,140.87405465699945,20
35,Feb 29 2020,694,427,1866,0.37191854233654875,0.22883172561629153,0.052551990728676265,86009,1895,1.3761801016702977,2942,69,140.78012548800893,16
36,Mar 01 2020,596,275,1421,0.41942294159042925,0.19352568613652357,0.07041258617225753,88386,2377,1.254353562005277,2996,54,110.49760457334077,14
37,Mar 02 2020,608,316,1897,0.32050606220347916,0.1665788086452293,0.05028568175644184,90360,1974,0.8304585612116113,3085,89,107.8043056330173,16
38,Mar 03 2020,478,332,1242,0.38486312399355876,0.2673107890499195,0.050329281757176166,92938,2578,1.3059777102330294,3160,75,110.6341996653653,15
39,Mar 04 2020,729,467,2024,0.3601778656126482,0.2307312252964427,0.04069089496428272,95237,2299,0.8917765709852599,3255,95,111.3675683212493,16
40,Mar 05 2020,1025,470,2620,0.39122137404580154,0.17938931297709923,0.05914324547370403,98028,2791,1.2140060896041758,3348,93,119.0820384829894,17
41,Mar 06 2020,879,380,2392,0.36747491638795987,0.1588628762541806,0.060211260872816974,101971,3943,1.4127552848441418,3460,112,143.25746235359733,14
42,Mar 07 2020,416,258,1289,0.3227307990690458,0.20015515903801395,0.04709067830117082,106009,4038,1.0240933299518133,3559,99,143.57832682654768,12
43,Mar 08 2020,704,387,1984,0.3548387096774194,0.19506048387096775,0.06457308300914233,109960,3951,0.9784546805349182,3803,244,112.70258505298382,10
44,Mar 09 2020,584,349,1571,0.3717377466581795,0.22215149586250796,0.04701400927523041,113860,3900,0.9870918754745635,3987,184,110.61214166201897,11
45,Mar 10 2020,497,268,1287,0.3861693861693862,0.20823620823620823,0.05851673851690146,118884,5024,1.2882051282051281,4266,279,111.50944506413832,11
46,Mar 11 2020,504,328,1458,0.345679012345679,0.22496570644718794,0.04578637267456578,126547,7663,1.5252786624203822,4611,345,111.85728667038482,13
47,Mar 12 2020,318,232,864,0.3680555555555556,0.26851851851851855,0.018799587601889066,132297,5750,0.7503588672843534,4916,305,110.86670942554379,17
48,Mar 13 2020,549,318,1336,0.41092814371257486,0.23802395209580837,0.0727769339858267,146704,14407,2.5055652173913043,5413,497,123.49724762967094,17
49,Mar 14 2020,561,282,1389,0.4038876889848812,0.20302375809935205,0.054733465649135886,157795,11091,0.7698341084195183,5830,417,114.09296430563302,17
50,Mar 15 2020,621,290,1399,0.44388849177984274,0.20729092208720515,0.07704736182536201,168941,11146,1.0049589757461004,6471,641,89.58913273842722,18
51,Mar 16 2020,588,299,1353,0.43458980044345896,0.22099039172209903,0.06872437800702698,183600,14659,1.3151803337520187,7151,680,89.29708031232572,19
52,Mar 17 2020,639,320,1478,0.43234100135318,0.2165087956698241,0.0703047437503307,199444,15844,1.0808377106214613,7955,804,83.8888455103179,20
53,Mar 18 2020,650,344,1481,0.43889264010803514,0.23227548953409857,0.06561859611791641,219037,19593,1.2366195405200706,8852,897,80.92291411042946,22
54,Mar 19 2020,678,317,1481,0.4577987846049966,0.21404456448345713,0.08747406779706449,246955,27918,1.4248966467615984,9958,1106,79.68381483547127,23
55,Mar 20 2020,747,347,1757,0.42515651678998295,0.19749573136027318,0.0841213570206392,276564,29609,1.0605702414213052,11436,1478,85.23913273842723,28
56,Mar 21 2020,944,486,2133,0.44256915142991093,0.22784810126582278,0.07332335845239288,308842,32278,1.0901415110270525,13142,1706,74.58430842163972,37
57,Mar 22 2020,799,473,1995,0.4005012531328321,0.23709273182957394,0.05054442050235832,342255,33413,1.0351632690996964,14840,1698,59.05492749581707,36
58,Mar 23 2020,914,497,2227,0.410417602155366,0.22317018410417602,0.0640528075388408,384420,42165,1.2619339777930745,16757,1917,64.24523982152816,34
59,Mar 24 2020,934,499,2230,0.4188340807174888,0.22376681614349775,0.06342232036516135,425559,41139,0.975667022411953,19027,2270,63.48145008365868,31
60,Mar 25 2020,1064,471,2517,0.42272546682558604,0.1871275327771156,0.08215410617111996,476376,50817,1.2352512214686793,21804,2777,64.11482989403235,27
61,Mar 26 2020,1044,488,2487,0.41978287092882993,0.19622034579815037,0.0661446253084063,539336,62960,1.2389554676584607,24811,3007,65.25846346904629,26
62,Mar 27 2020,1205,536,2590,0.46525096525096526,0.20694980694980694,0.09052636618389681,603736,64400,1.02287166454892,28329,3518,69.96724205242612,28
63,Mar 28 2020,1323,570,2864,0.4619413407821229,0.19902234636871508,0.0761064116506202,671344,67608,1.0498136645962732,32008,3679,61.78718906860011,27
64,Mar 29 2020,1385,588,3022,0.45830575777630705,0.19457313037723362,0.07813907318636582,730921,59577,0.8812122825701101,35481,3473,53.197847183491355,30
65,Mar 30 2020,1366,636,3302,0.4136886735311932,0.19261053906723197,0.06545679060922195,795560,64639,1.084965674673112,39645,4164,60.49800892359175,31
66,Mar 31 2020,1588,789,3759,0.42245277999467945,0.20989624900239426,0.07004304915757621,871976,76416,1.1821965067528892,44489,4844,60.377838817624095,39
67,Apr 01 2020,1868,883,4334,0.4310106137517305,0.20373788647900323,0.07405776886093418,948197,76221,0.9974481783919598,50043,5554,61.89360290016732,45
68,Apr 02 2020,1964,895,4525,0.4340331491712707,0.19779005524861878,0.08088670010145341,1029598,81401,1.067960273415463,56348,6305,62.44883993307307,58
69,Apr 03 2020,2914,1359,6972,0.4179575444635686,0.1949225473321859,0.06797147952570878,1112752,83154,1.0215353619734402,62333,5985,66.2353123257111,92
70,Apr 04 2020,3708,1447,8571,0.4326216310815541,0.16882510792206276,0.08500752666313466,1193128,80376,0.9665921062125694,68174,5841,58.86787785833798,100
71,Apr 05 2020,3365,1119,6346,0.5302552789158526,0.17633154743145288,0.10875656060343844,1264846,71718,0.8922812779934308,73195,5021,51.23443390964863,66
72,Apr 06 2020,2387,1012,5361,0.44525275135235964,0.18877075172542437,0.08364602209058213,1337518,72672,1.0133020998912408,79027,5832,61.0577300613497,57
73,Apr 07 2020,2258,967,5186,0.43540300809872734,0.1864635557269572,0.07876952093136955,1414391,76873,1.0578076838397181,86929,7902,62.72799498047964,48
74,Apr 08 2020,2232,952,4941,0.4517304189435337,0.1926735478648047,0.0875456816327165,1498166,83775,1.0897844496767395,93664,6735,64.01011991076408,44
75,Apr 09 2020,1866,765,4064,0.45915354330708663,0.18823818897637795,0.08471640248936382,1584791,86625,1.0340196956132497,101293,7629,64.50185164528722,42
76,Apr 10 2020,2157,1012,4807,0.44872061576867067,0.21052631578947367,0.07947082416771492,1672449,87658,1.011924963924964,108565,7272,68.67620747350809,41
77,Apr 11 2020,1943,869,4282,0.45375992526856607,0.20294255021018215,0.08494561107151552,1749169,76720,0.875219603458897,114634,6069,61.94583379810374,40
78,Apr 12 2020,1661,673,3652,0.45481927710843373,0.18428258488499452,0.08587604218824242,1845951,96782,1.2614963503649634,120365,5731,43.601793084216396,32
79,Apr 13 2020,1808,701,3888,0.46502057613168724,0.18029835390946503,0.09188692873740226,1915545,69594,0.7190799942138001,126112,5747,60.70288901282766,34
80,Apr 14 2020,1987,839,4311,0.4609139410809557,0.19461841800046392,0.08352060373986243,1985472,69927,1.0047848952495906,133011,6899,65.05501952035694,36
81,Apr 15 2020,2530,882,4945,0.5116279069767442,0.1783619817997978,0.08988824978553818,2066301,80829,1.1559054442490024,141323,8312,68.22344394868935,41
82,Apr 16 2020,2269,897,4766,0.4760805707091901,0.18820814099874109,0.08738697942308898,2163013,96712,1.196501255737421,148606,7283,70.05109313998885,49
83,Apr 17 2020,2137,841,4527,0.47205654959134086,0.18577424342831897,0.08849957062176968,2250737,87724,0.9070642733063116,157497,8891,75.8318878973787,50
84,Apr 18 2020,2192,939,4790,0.45762004175365345,0.19603340292275573,0.08088962434482559,2324265,73528,0.8381742738589212,163968,6471,71.51504740658115,48
85,Apr 19 2020,2175,936,4883,0.4454228957608028,0.19168543927913168,0.07715345615120879,2404790,80525,1.0951610270917203,168538,4570,59.401201896263245,40
86,Apr 20 2020,2061,918,4499,0.4581018004000889,0.20404534340964658,0.07724079811677843,2478129,73339,0.9107606333436821,173981,5443,70.92477691020635,36
87,Apr 21 2020,2285,859,4900,0.4663265306122449,0.17530612244897958,0.09639892156594333,2553379,75250,1.026057077407655,181138,7157,71.7757585052984,36
88,Apr 22 2020,2155,811,4764,0.4523509655751469,0.1702350965575147,0.09258640484018514,2630185,76806,1.0206777408637875,187893,6755,72.86317902955939,37
89,Apr 23 2020,2840,1125,6040,0.47019867549668876,0.18625827814569537,0.09091952394851589,2719198,89013,1.1589328958675102,194743,6850,73.53569157836029,41
90,Apr 24 2020,1984,799,4398,0.45111414279217826,0.18167348794906776,0.08901225483525593,2806138,86940,0.9767112668935998,201417,6674,83.04782208588956,38
91,Apr 25 2020,2044,867,4557,0.4485407066052227,0.1902567478604345,0.08014681349874553,2890259,84121,0.9675753393144697,206995,5578,78.36470161740101,37
92,Apr 26 2020,2258,927,4870,0.4636550308008214,0.19034907597535936,0.08999080451790804,2963206,72947,0.867167532482971,210878,3883,66.6395398773006,34
93,Apr 27 2020,2418,944,5099,0.474210629535203,0.18513434006667975,0.09169365443470147,3031910,68704,0.9418344825695368,215527,4649,75.72440881204685,35
94,Apr 28 2020,3396,1992,8603,0.3947460188306405,0.23154713472044636,0.049063900415895395,3107209,75299,1.095991499767117,221990,6463,77.12466815393194,42
95,Apr 29 2020,3796,2309,9695,0.39154203197524495,0.23816400206291902,0.041421523013159246,3184255,77046,1.0232008393205754,228758,6768,78.18877579475739,41
96,Apr 30 2020,2940,1473,6807,0.43190832966064346,0.21639488761568973,0.06864221766505872,3267936,83681,1.0861173844196974,234720,5962,83.45174288901283,43
97,May 01 2020,2641,1111,5801,0.4552663333907947,0.19151870367178073,0.07643907196402813,3354984,87048,1.040236134845425,239897,5177,94.91405744562186,48
98,May 02 2020,2170,1180,4866,0.4459515002055076,0.2424989724619811,0.06741813139343855,3435571,80587,0.9257765830346476,245222,5325,92.44659230340211,41
99,May 03 2020,2769,1382,6131,0.4516392105692383,0.22541184146142554,0.06871203937019328,3513207,77636,0.9633811905145991,248675,3453,78.66387618516454,38
100,May 04 2020,3366,1645,7761,0.43370699652106687,0.21195722200747327,0.06354318418073882,3589284,76077,0.9799191096913803,252803,4128,85.16363636363636,37
101,May 05 2020,3063,1554,7238,0.4231831997789445,0.21470019342359767,0.059344449752030876,3669273,79989,1.0514215860246856,258674,5871,85.63278304517567,37
102,May 06 2020,2391,1225,5623,0.42521785523741773,0.21785523741774854,0.060769447344012746,3759295,90022,1.1254297465901562,265343,6669,88.91844116006692,36
103,May 07 2020,1694,896,3923,0.43181238847820547,0.22839663522814171,0.0613220348232783,3848381,89086,0.989602541600942,270752,5409,93.82040156162856,34
104,May 08 2020,1987,884,4038,0.49207528479445267,0.21892025755324418,0.08094396338218454,3939898,91517,1.0272882383314998,276320,5568,103.1731372002231,35
105,May 09 2020,1730,844,3690,0.46883468834688347,0.22872628726287264,0.07506864563502502,4023533,83635,0.913873925063103,280585,4265,101.69872002230898,37
106,May 10 2020,2240,1219,4859,0.4610002058036633,0.25087466556904714,0.05586263176750211,4099779,76246,0.9116518204101154,284151,3566,80.27827105409928,31
107,May 11 2020,3913,1894,8572,0.45648623425104995,0.22095193653756418,0.06312778953790094,4176020,76241,0.9999344227893923,287624,3473,,42
108,May 12 2020,3116,1579,7003,0.44495216335856064,0.22547479651577895,0.0625002817201489,4259619,83599,1.0965097519707243,293171,5547,,40
109,May 13 2020,3018,1602,6799,0.4438888071775261,0.23562288571848802,0.060344330071600484,4344371,84752,1.0137920310051556,298399,5228,98.00250697155604,40
110,May 14 2020,3828,1874,8527,0.4489269379617685,0.219772487392987,0.07011871635838154,4441476,97105,1.1457546724561072,303667,5268,103.18351366424986,38
111,May 15 2020,3705,1911,8331,0.44472452286640257,0.22938422758372345,0.06563584050488883,4537825,96349,0.9922146130477318,308882,5215,117.93519241494701,37
112,May 16 2020,3420,1893,7542,0.45346062052505964,0.25099443118536197,0.06228235335248085,4629638,91813,0.9529211512314606,313053,4171,114.98875627440046,34
113,May 17 2020,8782,3974,21991,0.399345186667273,0.1807102905734164,0.04083511219862851,4708147,78509,0.8550967727881672,316382,3329,96.44832682654767,32
